Id_producto,Nombre,Cantidad,Precio_ingreso,Precio,Ganancia,Proveedor
40,maquina 3 en 1 gm8038,0,"23,000","60,000",37000,casa movil
1,diadema motivo bluetooth,18,"25,000","59,000",34000,weibo
2,impermeable sencillo,12,"3,000","6,000",3000,mundo xplore
3,impermeable grueso,2,"9,000","15,000",6000,mundo xplore
4,maquina motilar v963,1,"48,000","85,000",37000,doctor cell
5,maquina motilar v331,1,"32,000","85,000",53000,doctor cell
6,maquina motilar v306,1,"46,000","85,000",39000,weibo
7,maquina motilar v901,1,"55,000","98,000",43000,weibo
8,soporte celular sencillo,1,"6,000","15,000",9000,mundo accesorios
9,soporte celuklar moto zxc,1,"11,000","25,000",14000,mundo accesorios
10,soporte celular moto 390,1,"19,000","45,000",26000,mundo accesorios
11,soporte celular moto cyn5,1,"11,000","25,000",14000,mundo accesorios
12,kit boxeo niños ,3,"80,000","130,000",50000,mundo accesorios 
13,parlante jbl my27,3,"105,000","200,000",95000,mundo accesorios
14,luz de video led ,2,"23,000","55,000",32000,mundo accesorios
15,camara wifi 4k,1,"85,000","90,000",5000,mundo accesorios
16,pistola hidrogel accurate,1,"55,000","95,000",40000,casa movil
17,parlante aibimy my27,0,"100,000","170,000",70000,doctorcell
18,combo reloj y audifonos,1,"40,000","90,000",50000,casa movil
19,teclado bluetooth ramtb61,1,"35,000","72,000",37000,mundo accesorios
20,teclado grande fc530,2,"16,000","32,000",16000,mundo accesorios
21,monopod selfie professional,1,"15,000","35,000",20000,mundo accesorios
22,parlante tipo rokola bprv,1,"49,000","110,000",61000,weibo
23,parlante cuadrado mediano ktx1418,1,"26,000","60,000",34000,mundo accesorios
24,parlante mediano ktx1433,1,"26,000","60,000",34000,mundo accesorios
25,parlante cilindro rgb ,3,"49,000","110,000",61000,weibo
26,parlante ram rm817,2,"260,000","360,000",100000,crispin
27,parlante ram grande redondo,1,"420,000","320,000",-100000,casa movil
28,parlante weibo metalico,1,"120,000","180,000",60000,weibo
29,parlante pasta rojo,1,"85,000","130,000",45000,doctor cell
30,watch on full hd,2,"85,000","135,000",50000,doctor cell
31,watch on 4k ,1,"100,000","150,000",50000,doctor cell
32,parlante aibimy my262,2,"60,000","130,000",70000,doctor cell
33,repetidor wifi pix link,1,"45,000","85,000",40000,mundo accesorios
34,plancha nano titanium,1,"45,000","79,000",34000,docror cell
35,plancha wa2104 verde,1,"18,000","36,000",18000,weibo
36,rizador pelo wa8558,1,"12,000","22,000",10000,weibo
37,quita horqiuilla,1,"35,000","75,000",40000,casa movil
38,maquina motilar v290,1,"30,000","69,000",39000,weibo
39, maquina motilar 3 en 1 gm566,1,"25,000","60,000",35000,casa movil
41,intercomunicador moto,1,"37,000","60,000",23000,ma
42,cargador universal,2,"6,000","12,000",6000,bta
43,receptor bluetooth 1x1,4,"8,000","18,000",10000,dabier
44,memoria bluetooth blanca,1,"6,000","15,000",9000,ma
45,receptor bluetooth 5.0,2,"12,000","25,000",13000,ma
46,monopod selfie,3,"12,000","25,000",13000,ma
47,monopod selfie sencillo,2,"5,000","12,000",7000,ma
48,cargador celular moto sencillo,2,"12,000","25,000",13000,ma
49,cable hdmi 1.5,0,"10,000","22,000",12000,cm
50,cable hdmi 3m,1,"15,000","25,000",10000,cm
51,cable hdmi 5m,1,"16,000","35,000",19000,mb
52,mini teclado tv plano,1,"25,000","48,000",23000,ma
53,mini teclado tv control,1,"25,000","52,000",27000,ma
54,soporte iman celular plano,2,"6,000","15,000",9000,ma
55,soporte iman celular moneda,3,"4,000","10,000",6000,ma
56,soporte celular rejilla sencillo,1,"2,000","6,000",4000,ma
57,soporte rejilla grande celular,2,"5,000","12,000",7000,ma
58,soporte moneda iman rejilla,1,"7,000","15,000",8000,ma
59,soporte iman cuadrado rejilla,1,"12,000","28,000",16000,ma
60,convertidor cables hdmi,1,"35,000","75,000",40000,ma
61,cable audio 2x1,3,"4,000","12,000",8000,cm
62,cable de red 1m,3,0,"5,000",5000,na
63,kit otg convertidor,2,"10,000","25,000",15000,ma
64,cable de red 3m,1,"2,000","8,000",6000,na
65,convertidor vga hdmi,1,"15,000","32,000",17000,ma
66,extension usb 1.5,2,"7,000","16,000",9000,ma
67,cable impresora ,2,"10,000","20,000",10000,ma
68,cable ps3 ,1,0,"10,000",10000,na
69,cable ps4 ,3,"10,000","20,000",10000,ma
70,control ps4 ,1,"50,000","100,000",50000,ma
71,control ps2,1,"16,000","42,000",26000,dc
72,control xbox,1,"35,000","70,000",35000,cm
